year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes,commitment_id,lead_agency_standardized,supporting_agencies_standardized,item_type_clean,implementation_pathway_clean,binary_evaluable,binary_unit,overlap_theme,status_evidence_needed,source_quality,continuity_to_prior_year,matched_prior_commitment_id,matched_prior_title,match_basis,commitment_text,source_page,source_page_end,text_capture_confidence
2022,2022StateoftheStateBook.pdf,Health care,Part I-B: Retain the Existing Healthcare Workforce,Improve Training and Coordination Between EMS Professionals Statewide,,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022011,,,staffing/workforce,mixed,no,,cyber_emergency_response,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"The COVID-19 pandemic has shown the critical need for the Emergency Medical Services (EMS) workforce to be nimble and ready to respond to public health emergencies. Based on lessons learned during the pandemic, Governor Hochul has a plan to modernize New York's EMS system and workforce. Core initiatives include:

• Developing statewide treatment protocols across EMS agencies for basic and advanced life support by a single statewide council. • Creating a coordinated statewide EMS emergency response system. • Attracting a new generation of EMS providers through new EMS educational opportunities that foster professional growth and increase the overall number of EMS personnel. • Updating the definition of ""emergency medical services"" to include new models of health care delivery such as community paramedicine, which permits EMTs to provide health services where access to physicians, clinics, and/or hospitals may be difficult.

An investment in our frontline responders is an investment in urgent care for all New Yorkers.",29,30,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-B: Retain the Existing Healthcare Workforce,Reform Rules Limiting What Services Health Workers Can Provide,,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022012,,,other,mixed,no,,health_care_general,agency report or official implementation evidence,first_pass_toc,,,,,"Healthcare ""scope of practice"" refers to the health-related actions permitted by a worker's professional license. In September, Governor Hochul issued an Executive Order declaring a statewide emergency due to healthcare staffing shortages that expanded the scope of care for some professionals, enabling them to help New Yorkers in urgent need. To maintain this critical flexibility, Governor Hochul will propose legislation to make permanent the most beneficial provisions from the Executive Order, listed below, as well as others implemented during the pandemic.

Under the Governor's proposal, more professionals will be allowed to administer vaccines, flu, and COVID-19 testing; supervisory requirements in clinical laboratories will be modernized; and requirements will be waived for Nurse Practitioners to have a written practice agreement with a physician, which is an obstacle that stands in the way of Nurse Practitioners providing the maximum amount of care to New Yorkers.

New York's health workforce is filled with tremendously talented professionals who are learning more about how to battle this pandemic every day. We should leverage the growing skills of the workers already caring for New Yorkers to provide even more care when it is needed most.",30,31,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-B: Retain the Existing Healthcare Workforce,Create an Office of Healthcare Workforce Innovation,DOH,,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022013,DOH,,program/governance,executive_action,yes,created,health_care_general,"executive order, agency launch, or official announcement",first_pass_toc,,,,,"To better coordinate statewide health and direct care workforce strategies, Governor Hochul is directing the Department of Health (DOH) to create an Office of Healthcare Workforce Innovation. This new Office will work across agencies and gather regular, organized input from health and direct care providers, educational organizations, labor unions, and other stakeholders to (1) build a workforce hub, or a statewide online portal that matches candidates with training opportunities, support services, and jobs, (2) develop approaches for strengthening the health and direct care workforce that have been implemented in other states, (3) test new models of care and new educational strategies, and (4) recommend policies to increase the supply of health care and direct support personnel and meet the demands in New York.",31,31,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-C: Advancing Health Equity: Expand the Reach of Our Healthcare Workforce Through,Require Private Insurers to Reimburse Appropriate Telehealth Services at the Same Levels as Traditional Services,,,legislation/regulation,no,,legislation_required,First-pass coding from 2022 SOTS table of contents.,2022014,,,legislation/regulation,legislation_required,no,,medicaid_coverage,agency report or official implementation evidence,first_pass_toc,,,,,"The pandemic demonstrated the inequities in our healthcare system and showed that telehealth is a critical tool to expand access to healthcare, especially for behavioral health support. During the crisis, New York saw an approximately 130- fold increase in telehealth usage. Increased telehealth usage has been demonstrated to lower health costs and improve the patient experience, including expanding access to care and improving health outcomes.

Medicaid already pays for telehealth services at the same rates as equivalent traditional services. But that isn't true for many private healthcare plans, and this limits access to these important services for many New Yorkers. Governor's Hochul will establish parity for telehealth services across commercial insurance plans and

require insurers to offer an adequate network of telehealth health care providers, expanding access for telehealth services throughout the state.

Right now, telehealth adoption is uneven across the state. In particular, telehealth is underutilized by rural populations, those over 60 years old, low-income communities, racial and ethnic minorities, and groups with limited English proficiency. These groups often face a number of barriers to accessing telehealth, and legislative reform is needed to build a more accessible, equitable, effective, and efficient healthcare system. This proposal is a critical step.

Additionally, Governor Hochul will require insurers to provide up-to-date information in their provider directories about which providers offer telehealth services, and require providers to disclose and make publicly available the telehealth services they offer - making it easier for New Yorkers to find the services they need.",32,33,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-C: Advancing Health Equity: Expand the Reach of Our Healthcare Workforce Through,Create Powerful Patient and Provider Information Tools,,,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022015,,,program/governance,executive_action,yes,created,health_care_general,"executive order, agency launch, or official announcement",first_pass_toc,,,,,"Telehealth and other digital health services continue to expand the amount and type of information they put directly into the hands of New Yorkers, but there is still room to improve access to digital healthcare information.

To create stronger patient and provider information tools, Governor Hochul will establish partnerships between New York State and digital health companies to provide patients with their own health information through familiar formats, such as mobile health apps. This will enable more New Yorkers - especially those who have historically been underserved - to actively manage their own care.",33,33,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-C: Advancing Health Equity: Expand the Reach of Our Healthcare Workforce Through,Create a Center for Medicaid Innovation to Lower Costs and Improve Care,,,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022016,,,program/governance,executive_action,yes,created,medicaid_coverage,"executive order, agency launch, or official announcement",first_pass_toc,,,,,"The New Yorkers who can least afford healthcare costs often lack access to emerging digital tools that can help provide more affordable care. To expand access and improve health equity, Governor Hochul will create a Center for Medicaid Innovation, whose purpose is to identify and cultivate innovative digital health technologies and solutions capable of furthering the goals of the Medicaid program to achieve better quality, lower costs, and improved patient experiences. The Center will connect private technology companies looking to integrate with Medicaid systems - making these innovative care tools available to more New Yorkers.",34,34,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-D: Advancing Health Equity: Close New York’s Coverage Gap by Making Affordable,Make Healthcare More Affordable to More New Yorkers,,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022017,,,other,mixed,no,,medicaid_coverage,agency report or official implementation evidence,first_pass_toc,,,,,"Expanding income eligibility for the Essential Plan will both reduce the number of uninsured New Yorkers and offer an affordable alternative to those who may fall off coverage purchased in the insurance marketplace due to financial burdens. Governor Hochul will expand Essential Plan eligibility for New Yorkers, raising the threshold from 200 percent of federal poverty line to at least 250 percent subject to federal approval. This will reduce the ranks of the uninsured by at least 14,000 and make healthcare more affordable for at least 92,000 New Yorkers.",35,35,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-D: Advancing Health Equity: Close New York’s Coverage Gap by Making Affordable,Improve Access to Child Health Plus Insurance and to Mental and Behavioral Health Services for Children in Low-Income Households,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022018,,,program/policy,mixed,no,,mental_health_supportive_housing,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"Across the state, more than 146,000 families with children have a $9 monthly premium contribution per child in the Child Health Plus insurance plan, creating a cost burden that leads tens of thousands of low-income households losing their coverage. To improve healthcare access and affordability for our vulnerable children, Governor Hochul will eliminate the $9 premium for families between 160 and 222 percent of the federal poverty level ($27,876 and $38,676 for a household of two and between $42,408 and $58,836 for a household of four).

Additionally, the Governor will improve access to children's mental and behavioral health services by aligning Child Health Plus benefits with Medicaid benefits, including mental health and substance use services, home- and community- based services, evidence-based treatment for individuals diagnosed with serious mental illness, and residential rehabilitation for youth.

Together these actions will expand access and fulfill an unmet need that disproportionately impacts children in low-income communities and communities of color.",35,35,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-D: Advancing Health Equity: Close New York’s Coverage Gap by Making Affordable,Ensure Vulnerable Seniors and Individuals with Disabilities Maintain Health Coverage as They Age or Become Disabled,,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022019,,,other,mixed,no,,medicaid_coverage,agency report or official implementation evidence,first_pass_toc,,,,,"Under current Medicaid coverage rules, income eligibility plunges from 138 percent of the federal poverty level ($17,775 annually for an individual and $24,040 annually for a couple) to roughly 87 percent ($10,600 annually for an individual and $15,600 annually for a couple) when a person turns 65 and becomes eligible for Medicare, forcing many seniors to lose Medicaid coverage. Others lose access to full Medicaid coverage if they become disabled. The combined result of these rules is lost coverage for an estimated 200,000 New Yorkers who need it most, when they need it most.

To address this concern, New York will expand Medicaid eligibility so that low- income New Yorkers age 65 and up, as well as those with disabilities, are able to maintain Medicaid eligibility after they become eligible for Medicare. This coverage expansion will eliminate the resource eligibility test and raise the income level to 138 percent of the federal poverty level for these populations for these populations. These changes will enable extremely low-income seniors and individuals with disabilities to easily maintain secondary Medicaid coverage when their Medicare eligibility begins - significantly reducing health disparities across the State, reducing unnecessary eligibility redeterminations, and increase administrative efficiencies.",36,36,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-E: Advancing Health Equity: Ensure All Mothers in New York Get the Care They Need,Expand Medicaid Coverage for Postpartum Care,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022020,,,program/policy,mixed,no,,medicaid_coverage,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"The federal ARPA bill of 2021 allows states to extend postpartum coverage under Medicaid from 60 days to a full year - a significant extension of this critical care. New York will work with the Biden Administration to provide year-long Medicaid postpartum coverage for mothers, leading to more equitable health outcomes across the state.",37,37,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-E: Advancing Health Equity: Ensure All Mothers in New York Get the Care They Need,Improve and Expand Access to Prenatal and Postnatal Care,OMH,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022021,OMH,,program/policy,mixed,no,,primary_care_and_ems,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"Ensuring that all New York mothers get the prenatal and postnatal care they need requires enhanced coordination and access to a wider range of medical and behavioral health services. Governor Hochul will implement a holistic plan to improve care equity for new mothers across the state, including:

• Provide social work services delivered in clinic and non-clinic settings. • Establish coverage for nutrition services by reimbursing registered dieticians for providing services to pregnant New Yorkers.

• Reimburse community health workers for delivering care coordination and other peer support services in maternal health settings. • Increase availability of dyadic therapy, in which patient and baby receive services that promote positive parent-child interaction, including through an Office of Mental Health (OMH) and DOH partnership that will expand the New York State HealthySteps program and fully integrate behavioral health professionals into pediatric primary care well-child visits (described more below). • Engage in other interventions in high-risk communities. • Close gaps in physical infrastructure, such as fetal ultrasound equipment, and in human infrastructure, such as Maternal Fetal Medicine specialists who can assess and recommend treatment during pregnancy. • Encourage innovation and use of digital health services within the maternal health care journey.",37,38,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-E: Advancing Health Equity: Ensure All Mothers in New York Get the Care They Need,Expand Access to Midwifery Services Through Increased Reimbursement Rates,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022022,,,program/policy,executive_budget,no,,medicaid_coverage,"budget appropriation, program awards, or fiscal documents",first_pass_toc,,,,,"As a complement to the previous proposal, New York will increase reimbursement rates for midwifery services in an effort to expand access to this critical care and strengthen the midwife workforce. Additionally, to incentivize more midwifes to accept lower-income patients, Medicaid reimbursement rate for midwife maternal services would be increased to better align with medical practitioners who also perform deliveries.",38,38,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Establish a State Master Plan for Aging,,,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022023,,,program/governance,executive_action,yes,established,aging_master_plan,"executive order, agency launch, or official announcement",first_pass_toc,,,,,"As a first step toward building a comprehensive roadmap for meeting the needs of aging New Yorkers, Governor Hochul will issue an Executive Order implementing a State Master Plan for Aging. This master plan will coordinate all State policy and programs, creating a blueprint of strategies to ensure that older New Yorkers can live fulfilling lives, in good health, with the freedom and independence to age in place for as long as possible. This plan will also address challenges related to communication, coordination, caregiving, long-term financing, and innovative care

models - all furthering the ability for more New Yorkers to age with dignity and independence.",39,40,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Promote Alternatives to Institutional Settings for Seniors,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022024,,,program/policy,mixed,no,,aging_long_term_care,agency report or official implementation evidence,first_pass_toc,,,,,"Some aging New Yorkers would prefer to age in place but struggle to afford an independent living arrangement. To expand affordable housing availability for older New Yorkers with the services they need to live independently, as part of the Housing Plan (see Section V), Governor Hochul will create affordable and permanent supportive housing units for seniors who might otherwise need to reside in a nursing home or other institutional setting.

Additionally, to keep pace with this need as the state's population ages, capital funding will provide permanent senior supportive housing units annually and a larger number of affordable housing units available to seniors.",40,40,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Improve the Quality of Care in Nursing Homes,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022025,,,program/policy,mixed,no,,aging_long_term_care,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"Nursing homes provide essential support to more than 92,000 New Yorkers throughout the state, but there is a great deal of work to be done to ensure quality care for residents with dementia. To address this gap, New York State will establish clear certification criteria for ""memory care"" - a form of long-term care focusing on helping residents with memory issues or dementia. Currently, facilities can advertise offering specialized services such as memory care without having staffing with specialized knowledge of the care and treatment of residents with Alzheimer's disease or dementia. Under this proposal, facilities will be required to include specific training requirements for staff and administrators, as well as resident programming requirements that seek to reduce cognitive decline, emphasize quality of care, and promote aging in place. Facilities without this certification would not be able to advertise to the public as providing ""memory care"" services to their residents.",40,40,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Invest in Innovative Nursing Home Models,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2022 SOTS table of contents.,2022026,,,funding/tax/benefit,executive_budget,no,,aging_long_term_care,agency report or official implementation evidence,first_pass_toc,,,,,"The Green House nursing home model re-imagines nursing home design - through the lens of creating actual homes instead of institutional settings. In the Green House model,21 facilities are designed to feel like a traditional home, with food made fresh on location, far less visually prominent medical equipment, and minimal administrative interactions - all with the goal of providing high-quality care in a setting that residents find more comfortable and familiar.

To provide New Yorkers with greater access to cutting-edge care, Governor Hochul will support nursing home conversions to the Green House model to understand the economics of this innovative model, while also investing in other innovative nursing home approaches.",41,41,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Combat Social Isolation and Abuse of Older Residents,DFS; NYS Office for the Aging,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022027,DFS; NYS Office for the Aging,,program/policy,mixed,no,,aging_long_term_care,agency report or official implementation evidence,first_pass_toc,,,,,"Roughly one-quarter of Americans over 65 suffer from social isolation, reducing quality of life and significantly increasing health risks related to dementia, heart failure, and premature death. To combat isolation, New York will connect more elderly New Yorkers with friends, family, and other social supports to:

• Use supportive services and new technology to combat social isolation and ensure information is readily available to older, rural, and low-income New Yorkers. • Expand the current programming of New York State Office for the Aging to more New Yorkers, helping to subsidize wireless internet cost. • Develop web-based advertising and education materials focused on reaching a broad base of groups and organizations that serve and interact with older adults.

Additionally, New York will establish a program to stop elder abuse and financial exploitation by establishing an Elder Abuse Financial Exploitation Prevention Program in the Department of Financial Services (DFS). This program will provide professional bill paying services to vulnerable older adults and help identify financial exploitation when it is occurring.",41,42,high
2022,2022StateoftheStateBook.pdf,Health care,Part I-F: Advancing Health Equity: Enable All New Yorkers to Age with Dignity and,Strengthen the Long-Term Care Ombudsman Program,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022028,,,program/policy,mixed,no,,aging_long_term_care,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"Ombudsmen help residents of long-term care facilities understand how to exercise their rights to good care, but currently New York ranks 39th among U.S. states in paid ombudsman staff per long-term care facility beds, limiting access to these important advocacy services. COVID-19 has presented unique challenges to the Long-Term Care Ombudsman Program, and Governor Hochul will study the impacts of COVID on the program and the need for future reforms.",42,42,high
2022,2022StateoftheStateBook.pdf,Health care,"Part I-G: Support More New Yorkers with Stronger Addiction, Suicide, Mental Health, and",Fight the Opioid Epidemic in New York State Using a Public Health Approach,OASAS,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022029,OASAS,,other,mixed,no,,opioid_response,agency report or official implementation evidence,first_pass_toc,,,,,"Public health interventions such as harm-reduction services, which are designed to minimize the negative consequences of drug use, have shown promise in mitigating opioid addiction. But these types of programs have not been rolled out as widely as necessary to support New Yorkers seeking help. Additionally, people who use drugs obtain services through a patchwork of different agencies, often because traditional addiction treatment options provide inconsistent thresholds for care. The result can be incomplete or uncoordinated care that may not provide the holistic support a patient needs.

To make a push toward ending the opioid epidemic, the State will expand and enhance a public health-style program coordinated by DOH and the Office of Addiction Services and Supports (OASAS) that includes harm-reduction services, health monitoring, and evidence-based community interventions. Programs will include established initiatives such as expanded access to sterile syringes, naloxone, buprenorphine, and other medications used to treat opioid use.

The State will also create a Division of Harm Reduction within OASAS to develop and incorporate harm reduction principles and strategies across the OASAS system of care. This new division, in collaboration with the DOH's Office of Drug User Health, will implement harm-reduction initiatives that could include:

• Expanding naloxone and buprenorphine access by mandating pharmacies to maintain a stock of these medications.

• Investing in fentanyl test strips, opioid overdose prevention kits, safety kits, and resources to prevent individuals from overdosing while alone. • Developing a public awareness campaign to prevent overdose deaths in public settings. • Creating and implementing a medication-assisted treatment program for uninsured individuals. • Expanding access to sterile syringes by allowing emergency departments and health departments to provide syringes to individuals who present with signs and symptoms of injection drug use.

Together, these coordinated efforts can help ensure New Yorkers get the most effective and most complementary treatment across the addiction lifespan.",43,44,high
